id,Name,PS Intelligence,PS Strength,PS Speed,PS Durability,PS Power,PS Combat,Overall PS,Gender,Race,Height,Weight,Full Name,First Appearance,Publisher,Alignment,Occupation,Base,Affiliation,Image,Year
1,A-bomb,38,100,17,80,24,64,323,Male,Human,203 Cm,441 Kg,Richard Milhouse Jones,"Hulk Vol 2 #2 (april, 2008) (as A-bomb)",Marvel Comics,😇,"Musician, Adventurer, Author; Formerly Talk Show Host",-,"Hulk Family; Excelsior (sponsor), Avengers (honorary Member); Formerly Partner Of The Hulk, Captain America And Captain Marvel; Teen Brigade; Ally Of Rom",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/1-a-bomb.jpg,2008.0
2,Abe Sapien,88,28,35,65,100,85,401,Male,Icthyo Sapien,191 Cm,65 Kg,Abraham Sapien,Hellboy: Seed Of Destruction (1993),Dark Horse Comics,😇,Paranormal Investigator,-,Bureau For Paranormal Research And Defense,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/2-abe-sapien.jpg,1993.0
3,Abin Sur,50,90,53,64,99,65,421,Male,Ungaran,185 Cm,90 Kg,,"Showcase #22 (october, 1959)",Dc Comics,😇,"Green Lantern, Former History Professor",Oa,"Green Lantern Corps, Black Lantern Corps",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/3-abin-sur.jpg,1959.0
4,Abomination,63,80,53,90,62,95,443,Male,Human / Radiation,203 Cm,441 Kg,Emil Blonsky,Tales To Astonish #90,Marvel Comics,😈,Ex-spy,Mobile,"Former Member Of The Crew Of The Andromeda Starship, Ally Of The Abominations And Forgotten",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/4-abomination.jpg,
5,Abraxas,88,63,83,100,100,55,489,Male,Cosmic Entity,Unknown,Unknown,Abraxas,Fantastic Four Annual #2001,Marvel Comics,😈,Dimensional Destroyer,-,Cosmic Beings,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/5-abraxas.jpg,2001.0
6,Absorbing Man,38,80,25,100,98,64,405,Male,Human,193 Cm,122 Kg,Carl Creel,"Daredevil #1 (april, 1964) (as Rocky Davis)",Marvel Comics,😈,Professional Criminal; Former Professional Boxer,-,"Masters Of Evil, Lethal Legion; Formerly Worthy, Frightful Four: Former Agent Of Loki And They Who Wield Power",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/6-absorbing-man.jpg,1964.0
7,Adam Monroe,63,10,12,100,100,64,349,Male,Unknown,Unknown,Unknown,,Heroes S02e01 - Four Months Later...,Nbc - Heroes,😇,"Former Samurai Swordsman, Former British Mercenary Commander, Former Soldier In The Confederate Army","U.s.; Formerly Diedenshausen, Germany; Milan, Italy; Paris, France; Japan; England; Atlanta, Ga; Montreal, Canada",-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/7-adam-monroe.jpg,
8,Adam Strange,69,10,33,40,37,50,239,Male,Human,185 Cm,88 Kg,Adam Strange,"Outsiders #6 (april, 1986)",Dc Comics,😇,"Adventurer, Archaelogist, Ambassador","Rann, Alpha Centauri System","Omega Men, L.e.g.i.o.n., R.e.b.e.l.s., Formerly Seven Soldiers Of Victory",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/8-adam-strange.jpg,1986.0
10,Agent Bob,10,8,13,5,5,20,61,Male,Human,178 Cm,81 Kg,Bob,"Cable & Deadpool #38 (may, 2007)",Marvel Comics,😇,"Mercenary, Janitor; Former Pirate, Terrorist","Mobile; Formerly Manhattan, Hellcarrier","A.i.m., Deadpool; Formerly Agency X, Hydra",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/10-agent-bob.jpg,2007.0
11,Agent Zero,75,28,38,80,72,95,388,Male,Unknown,191 Cm,104 Kg,Christoph Nord,-,Marvel Comics,😇,"Mercenary, Former Government Operative, Freedom Fighter",-,"Formerly Weapon X, Weapon Plus, Team X, Cell Six, Former Bodyguard Of Psi-borg, Former Agent Of Major Barrington",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/11-agent-zero.jpg,
12,Air-walker,50,85,100,85,100,40,460,Male,Unknown,188 Cm,108 Kg,Gabriel Lan,Fantastic Four #120,Marvel Comics,😈,"Former Starship Captain, Herald Of Galactus",-,"Former Member Of Nova Corps, Heralds Of Galactus",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/12-air-walker.jpg,
13,Ajax,56,48,35,80,34,55,308,Male,Cyborg,193 Cm,90 Kg,Francis,"Deadpool #14 (march, 1998)",Marvel Comics,😈,-,-,Formerly Weapon X,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/13-ajax.jpg,1998.0
14,Alan Scott,63,80,23,90,100,32,388,Male,Unknown,180 Cm,90 Kg,Alan Ladd Wellington Scott,All-american Comics 16 (1940),Dc Comics,😇,-,Gotham City And New York City; Formerly Capitol City,Justice Society Of America; Formerly Checkmate; The Sentinels Of Magic; Formerly All-star Squadron,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/14-alan-scott.jpg,1940.0
15,Alex Mercer,50,80,42,90,100,50,412,Male,Human,Unknown,Unknown,Alexander J. Mercer,-,Wildstorm,😈,-,-,"Gentek, The Infected",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/15-alex-mercer.jpg,
17,Alfred Pennyworth,63,10,17,10,7,55,162,Male,Human,178 Cm,72 Kg,Alfred Thaddeus Crane Pennyworth,"Batman #16 (april, 1943)",Dc Comics,😇,"Butler; Caretaker, Former Actor; Field Medic; Government Agent",Wayne Manor; Batcave; Gotham City,"Batman Family, Outsiders",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/17-alfred-pennyworth.jpg,1943.0
